title,year,quarter,date,cik,url,finalUrl,httpStatus,contentType,extractionType,wordCount,status,error,textPath,rawPath
1 Main Capital,2025,Q4,January 26,,https://static1.squarespace.com/static/5e03bb9dcc191357f10902ad/t/6973f17554de680aa12aad83/1769206133424/Q4%2725+letter.pdf,https://static1.squarespace.com/static/5e03bb9dcc191357f10902ad/t/6973f17554de680aa12aad83/1769206133424/Q4%2725+letter.pdf,200,application/pdf,pdf,2395,ok,,output/playwright/fund-letters/latest-quarter-content/text/001-1-main-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/001-1-main-capital.pdf
Arquitos Capital,2025,Q4,January 26,,https://mcusercontent.com/2e00b983d572e23abe8bd7a2a/files/ce1766a6-7b86-7547-f75f-79cd575e8f6b/Arquitos_Investor_Letter_Q4_2025.pdf,https://mcusercontent.com/2e00b983d572e23abe8bd7a2a/files/ce1766a6-7b86-7547-f75f-79cd575e8f6b/Arquitos_Investor_Letter_Q4_2025.pdf,200,application/pdf,pdf,2381,ok,,output/playwright/fund-letters/latest-quarter-content/text/002-arquitos-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/002-arquitos-capital.pdf
Blue Tower Asset Management,2025,Q4,January 25,,https://static1.squarespace.com/static/54373ea8e4b0152f9d332f13/t/69655563fd48c11f5a6175c9/1768248675610/2025+Q4.pdf,https://static1.squarespace.com/static/54373ea8e4b0152f9d332f13/t/69655563fd48c11f5a6175c9/1768248675610/2025+Q4.pdf,200,application/pdf,pdf,1242,ok,,output/playwright/fund-letters/latest-quarter-content/text/003-blue-tower-asset-management.txt,output/playwright/fund-letters/latest-quarter-content/raw/003-blue-tower-asset-management.pdf
Bonhoeffer Partners,2025,Q4,January 24,,https://mcusercontent.com/2511717cdf1bae9a0638c942a/files/4ce92677-66f3-d646-b342-59c9b7cbcc51/Bonhoeffer_Partner_Letter_Q3_2025.pdf,https://mcusercontent.com/2511717cdf1bae9a0638c942a/files/4ce92677-66f3-d646-b342-59c9b7cbcc51/Bonhoeffer_Partner_Letter_Q3_2025.pdf,200,application/pdf,pdf,7362,ok,,output/playwright/fund-letters/latest-quarter-content/text/004-bonhoeffer-partners.txt,output/playwright/fund-letters/latest-quarter-content/raw/004-bonhoeffer-partners.pdf
Bristlemoon Capital,2025,Q4,January 25,,https://www.bristlemoonresearch.com/p/bristlemoon-december-2025-quarterly,https://www.bristlemoonresearch.com/p/bristlemoon-december-2025-quarterly,200,text/html; charset=utf-8,html,635,ok,,output/playwright/fund-letters/latest-quarter-content/text/005-bristlemoon-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/005-bristlemoon-capital.html
Curreen Capital,2025,Q4,February 4,,https://static1.squarespace.com/static/55f99b0ae4b02c9607c0f701/t/697bb4663088b968ca74fda7/1769714790425/Q4+2025+Letter.pdf,https://static1.squarespace.com/static/55f99b0ae4b02c9607c0f701/t/697bb4663088b968ca74fda7/1769714790425/Q4+2025+Letter.pdf,200,application/pdf,pdf,1762,ok,,output/playwright/fund-letters/latest-quarter-content/text/006-curreen-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/006-curreen-capital.pdf
Desert Lion Capital,2025,Q4,January 8,,https://mcusercontent.com/57cdfc490b101d54b70128c06/files/6000bbb7-5799-4598-d588-3e891ea6181d/SilverRingValuePartners_2025Q3_Letter.pdf,https://mcusercontent.com/57cdfc490b101d54b70128c06/files/6000bbb7-5799-4598-d588-3e891ea6181d/SilverRingValuePartners_2025Q3_Letter.pdf,200,application/pdf,pdf,2938,ok,,output/playwright/fund-letters/latest-quarter-content/text/007-desert-lion-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/007-desert-lion-capital.pdf
Diameter Capital,2025,Q4,January 25,,https://diameter-presents.s3.us-east-1.amazonaws.com/Diameter+Capital+Partners+-+Q4+2025+Letter.pdf,https://diameter-presents.s3.us-east-1.amazonaws.com/Diameter+Capital+Partners+-+Q4+2025+Letter.pdf,200,application/pdf,pdf,9109,ok,,output/playwright/fund-letters/latest-quarter-content/text/008-diameter-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/008-diameter-capital.pdf
Emeth Value,2025,Q4,February 16,,https://www.emethvaluecapital.com/_files/ugd/b2ee4c_a623f4db4919487e9b5db15be48fd620.pdf,https://www.emethvaluecapital.com/_files/ugd/b2ee4c_a623f4db4919487e9b5db15be48fd620.pdf,200,application/pdf,pdf,10727,ok,,output/playwright/fund-letters/latest-quarter-content/text/009-emeth-value.txt,output/playwright/fund-letters/latest-quarter-content/raw/009-emeth-value.pdf
Equity Management Associates,2025,Q4,January 25,,https://drive.google.com/file/d/1TDiQ-lbWltk9lS62CAwVBvtSSLb4nokB/view,https://drive.usercontent.google.com/download?id=1TDiQ-lbWltk9lS62CAwVBvtSSLb4nokB&export=download,200,application/octet-stream,pdf,8181,ok,,output/playwright/fund-letters/latest-quarter-content/text/010-equity-management-associates.txt,output/playwright/fund-letters/latest-quarter-content/raw/010-equity-management-associates.pdf
Fairlight Fund,2025,Q4,February 3,,https://www.fairlightcapital.com/_files/ugd/a6cb30_2c6c31e59e024979a84cb039ac66819d.pdf,https://www.fairlightcapital.com/_files/ugd/a6cb30_2c6c31e59e024979a84cb039ac66819d.pdf,200,application/pdf,pdf,3890,ok,,output/playwright/fund-letters/latest-quarter-content/text/011-fairlight-fund.txt,output/playwright/fund-letters/latest-quarter-content/raw/011-fairlight-fund.pdf
Fundsmith,2025,Q4,January 25,,https://www.fundsmith.co.uk/media/4hcfd1pg/2025-fef-annual-letter-web.pdf,https://www.fundsmith.co.uk/media/4hcfd1pg/2025-fef-annual-letter-web.pdf,200,application/pdf,pdf,6068,ok,,output/playwright/fund-letters/latest-quarter-content/text/012-fundsmith.txt,output/playwright/fund-letters/latest-quarter-content/raw/012-fundsmith.pdf
Greenfield Investment Management,2025,Q4,January 8,,https://drive.google.com/file/d/13APSthiB5RmYBZZiLCd5keqxB00VABCx/view,https://drive.usercontent.google.com/download?id=13APSthiB5RmYBZZiLCd5keqxB00VABCx&export=download,200,application/octet-stream,pdf,3168,ok,,output/playwright/fund-letters/latest-quarter-content/text/013-greenfield-investment-management.txt,output/playwright/fund-letters/latest-quarter-content/raw/013-greenfield-investment-management.pdf
Greenlight Capital,2025,Q4,February 3,,https://drive.google.com/file/d/1moRuJauiwIF9PILWh50vs0Rz9XP0QP9R/view,https://drive.usercontent.google.com/download?id=1moRuJauiwIF9PILWh50vs0Rz9XP0QP9R&export=download,200,application/octet-stream,pdf,4668,ok,,output/playwright/fund-letters/latest-quarter-content/text/014-greenlight-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/014-greenlight-capital.pdf
Greystone Capital,2025,Q4,January 25,,https://88ed4599-26c4-4b58-95a2-873503998297.filesusr.com/ugd/47fd79_3f1d4b7645974584998866e0a513b174.pdf,https://88ed4599-26c4-4b58-95a2-873503998297.filesusr.com/ugd/47fd79_3f1d4b7645974584998866e0a513b174.pdf,200,application/pdf,pdf,6230,ok,,output/playwright/fund-letters/latest-quarter-content/text/015-greystone-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/015-greystone-capital.pdf
